SpawnGroupID,MonsterID,Count,Spawn Count,IsBoss
string,string,int,float,Bool
STAGE_001_G01,MON_BLUESLIME_001,2,0.3,FALSE
STAGE_001_G01,MON_GRAPE_001,1,0,FALSE
STAGE_001_G02,MON_BLUESLIME_001,3,0.2,FALSE
STAGE_001_G02,MON_GRAPE_001,4,0.1,FALSE
STAGE_001_G03,MON_BLUESLIME_001,1,0,FALSE
STAGE_001_G03,MON_GRAPE_001,2,0.3,FALSE
STAGE_001_G04,MON_BLUESLIME_001_BOSS,1,1,TRUE
STAGE_002_G01,MON_GRAPE_001,2,0.3,FALSE
STAGE_002_G01,MON_GHOST_001,1,0,FALSE
STAGE_002_G02,MON_GRAPE_001,3,0.2,FALSE
STAGE_002_G02,MON_GHOST_001,4,0.1,FALSE
STAGE_002_G03,MON_GRAPE_001,1,0,FALSE
STAGE_002_G03,MON_GHOST_001,2,0.3,FALSE
STAGE_002_G04,MON_GRAPE_001,1,0,TRUE
STAGE_002_G04,MON_GHOST_001,3,0.2,FALSE
STAGE_003_G01,MON_GRAPE_001,4,0.1,FALSE
STAGE_003_G01,MON_GHOST_001,1,0,TRUE
STAGE_003_G02,MON_GRAPE_001,2,0.3,FALSE
STAGE_003_G02,MON_GHOST_001,1,0,FALSE
STAGE_003_G03,MON_GRAPE_001,3,0.2,FALSE
STAGE_003_G03,MON_GHOST_001,4,0.1,FALSE
STAGE_003_G04,MON_GRAPE_001,1,0,FALSE
STAGE_003_G04,MON_GHOST_001,2,0.3,FALSE
